name,kcal,prot,fat,carb
Arroz integral cozido,124,2.60,1.00,25.80
Arroz integral cru,360,7.30,1.90,77.50
Arroz tipo 1 cozido,128,2.50,0.20,28.10
Arroz tipo 1 cru,358,7.20,0.30,78.80
Aveia flocos crua,394,13.90,8.50,66.60
Biscoito doce maisena,443,8.10,12.00,75.20
Biscoito doce recheado com morango,471,5.70,19.60,71.00
Biscoito doce wafer recheado de chocolate,502,5.60,24.70,67.50
Biscoito doce wafer recheado de morango,513,4.50,26.40,67.40
Biscoito salgado cream cracker,432,10.10,14.40,68.70
Bolo mistura para,419,6.20,6.10,84.70
Bolo pronto aipim,324,4.40,12.70,47.90
Bolo pronto chocolate,410,6.20,18.50,54.70
Bolo pronto coco,333,5.70,11.30,52.30
Bolo pronto milho,311,4.80,12.40,45.10
Canjica branca crua,358,7.20,1.00,78.10
Cereais milho flocos,363,6.90,1.20,80.40
Cereais mingau milho infantil,394,6.40,1.10,87.30
Cereal matinal milho,365,7.20,1.00,83.80
Cereal matinal milho açúcar,377,4.70,0.70,88.80
Creme de arroz pó,386,7.00,1.20,83.90
Creme de milho pó,333,4.80,1.60,86.10
Curau milho verde,78,2.40,1.60,13.90
Curau milho verde mistura para,402,2.20,13.40,79.80
Farinha de arroz enriquecida,363,1.30,0.30,85.50
Farinha de centeio integral,336,12.50,1.80,73.30
Farinha de milho amarela,351,7.20,1.50,79.10
Farinha de rosca,371,11.40,1.50,75.80
Farinha de trigo,360,9.80,1.40,75.10
Farinha láctea de cereais,415,11.90,5.80,77.80
Lasanha massa fresca cozida,164,5.80,1.20,32.50
Lasanha massa fresca crua,220,7.00,1.30,45.10
Macarrão instantâneo,436,8.80,17.20,62.40
Macarrão trigo cru,371,10.00,1.30,77.90
Macarrão trigo cru com ovos,371,10.30,2.00,76.60
Milho amido cru,361,0.60,0.00,87.10
Milho fubá cru,353,7.20,1.90,78.90
Milho verde cru,138,6.60,0.60,28.60
Milho verde enlatado drenado,98,3.20,2.40,17.10
Mingau tradicional pó,373,0.60,0.40,89.30
Pamonha barra para cozimento pré-cozida,171,2.60,4.80,30.70
Pão aveia forma,343,12.40,5.70,59.60
Pão de soja,309,11.30,3.60,56.50
Pão glúten forma,253,12.00,2.70,44.10
Pão milho forma,292,8.30,3.10,56.40
Pão trigo forma integral,253,9.40,3.70,49.90
Pão trigo francês,300,8.00,3.10,58.60
Pão trigo sovado,311,8.40,2.80,61.50
Pastel massa crua,310,6.90,5.50,57.40
Pastel massa frita,570,6.00,40.90,49.30
Pipoca com óleo de soja sem sal,448,9.90,15.90,70.30
Polenta pré-cozida,103,2.30,0.30,23.30
Torrada pão francês,377,10.50,3.30,74.60
Abóbora cabotian cozida,48,1.40,0.70,10.80
Abóbora cabotian crua,39,1.70,0.50,8.40
Abóbora menina brasileira crua,14,0.60,0.00,3.30
Abóbora moranga crua,12,1.00,0.10,2.70
Abóbora moranga refogada,29,0.40,0.80,6.00
Abobora pescoço crua,24,0.70,0.10,6.10
Abobrinha italiana cozida,15,1.10,0.20,3.00
Abobrinha italiana crua,19,1.10,0.10,4.30
Abobrinha italiana refogada,24,1.10,0.80,4.20
Abobrinha paulista crua,31,0.60,0.10,7.90
Acelga crua,21,1.40,0.10,4.60
Agrião cru,17,2.70,0.20,2.30
Aipo cru,19,0.80,0.10,4.30
Alface americana crua,9,0.60,0.10,1.70
Alface crespa crua,11,1.30,0.20,1.70
Alface lisa crua,14,1.70,0.10,2.40
Alface roxa crua,13,0.90,0.20,2.50
Alfavaca crua,29,2.70,0.50,5.20
Alho cru,113,7.00,0.20,23.90
Alho-poró cru,32,1.40,0.10,6.90
Almeirão cru,18,1.80,0.20,3.30
Almeirão refogado,65,1.70,4.80,5.70
Batata baroa cozida,80,0.90,0.20,18.90
Batata baroa crua,101,1.00,0.20,24.00
Batata doce cozida,77,0.60,0.10,18.40
Batata doce crua,118,1.30,0.10,28.20
Batata frita tipo chips industrializada,543,5.60,36.60,51.20
Batata inglesa cozida,52,1.20,0.00,11.90
Batata inglesa crua,64,1.80,0.00,14.70
Batata inglesa frita,267,5.00,13.10,35.60
Batata inglesa sauté,68,1.30,0.90,14.10
Berinjela cozida,19,0.70,0.10,4.50
Berinjela crua,20,1.20,0.10,4.40
Beterraba cozida,32,1.30,0.10,7.20
Beterraba crua,49,1.90,0.10,11.10
Biscoito polvilho doce,438,1.30,12.20,80.50
Brócolis cozido,25,2.10,0.50,4.40
Brócolis cru,25,3.60,0.30,4.00
Cará cozido,78,1.50,0.10,18.90
Cará cru,96,2.30,0.10,23.00
Caruru cru,34,3.20,0.60,6.00
Catalonha crua,24,1.90,0.30,4.80
